Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend,Re__nmo:hasLegend,Ma__hasCertainty^^certainty,Mi__hasCertainty^^certainty,De__hasCertainty^^certainty,We__hasCertainty^^certainty,DMi__hasCertainty^^certainty,DMa__hasCertainty^^certainty,Di__hasCertainty^^certainty,WF__hasCertainty^^certainty,WB__hasCertainty^^certainty,CF__hasCertainty^^certainty,CB__hasCertainty^^certainty
afe:11967,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,-/-//COM,,4.38,21.24,21.24,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11968,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.43,21.91,21.91,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:11969,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.43,21.43,21.43,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11970,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.36,21.86,21.86,1,5.0,,,,,,,,,,,,,,,,,,,,,
afe:11971,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.45,21.13,21.13,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:11972,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.5,21.86,21.86,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11973,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.4,21.49,21.49,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11974,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.47,21.55,21.55,1,7.0,,,,,,,,,,,,,,,,,,,,,
afe:11975,gaz:2052958,nm:av,nm:mediolanum,nm:solidus,M/D//COMOB,,4.46,21.24,21.24,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:11976,gaz:2052958,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.45,22.43,22.43,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11977,gaz:2052958,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.47,21.73,21.73,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11978,gaz:2052958,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.43,21.16,21.16,1,1.0,,,,,,,,,,,,,,,,,,,,,
afe:11979,gaz:2052958,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.47,21.31,21.31,1,1.0,,,,,,,,,,,,,,,,,,,,,
afe:11980,gaz:2052958,nm:av,nm:lugdunum,nm:solidus,L/D//COMOB,,4.47,21.8,21.8,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11981,gaz:2052958,nm:av,nm:lugdunum,nm:solidus,L/D//COMOB,,4.47,21.36,21.36,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:11982,gaz:2052958,nm:av,nm:lugdunum,nm:solidus,L/D//COMOB,,4.46,22.05,22.05,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:11983,gaz:2052958,nm:av,nm:treveri,nm:solidus,-/-//TROBS,,4.49,22.11,22.11,1,6.0,,,,,,,,,,,,,,,,,,,,,
afe:11984,gaz:2052958,nm:av,nm:treveri,nm:solidus,-/-//TROBS,,4.47,20.89,20.89,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:11985,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11986,,nm:ae,,nm:as,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11988,,nm:ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11989,,nm:av,nm:rome,nm:aureus,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
